repo,created_at,updated_at,pushed_at,stars,watchers,forks,open_issues,language,license
torvalds/linux,2011-09-04T22:48:12Z,2026-02-04T12:48:35Z,2026-02-04T02:06:54Z,216258,216258,60295,3,C,Other
tensorflow/tensorflow,2015-11-07T01:19:20Z,2026-02-04T12:48:09Z,2026-02-04T12:47:58Z,193604,193604,75207,3158,C++,Apache License 2.0
facebook/react,2013-05-24T16:15:54Z,2026-02-04T12:10:01Z,2026-02-04T10:42:49Z,242765,242765,50504,1114,JavaScript,MIT License
microsoft/vscode,2015-09-03T20:23:38Z,2026-02-04T12:57:53Z,2026-02-04T12:57:44Z,181352,181352,37740,13454,TypeScript,MIT License
kubernetes/kubernetes,2014-06-06T22:56:04Z,2026-02-04T12:12:11Z,2026-02-04T12:11:57Z,120269,120269,42374,2610,Go,Apache License 2.0
microsoft/TypeScript,2014-06-17T15:28:39Z,2026-02-04T13:01:56Z,2026-02-04T04:47:42Z,107671,107671,13216,5474,TypeScript,Apache License 2.0
nodejs/node,2014-11-26T19:57:11Z,2026-02-04T10:40:48Z,2026-02-04T13:01:33Z,115543,115543,34613,2443,JavaScript,Other
anthropics/claude-code,2025-02-22T17:41:21Z,2026-02-04T13:01:50Z,2026-02-04T00:44:13Z,63940,63940,4832,6017,Shell,
openclaw/openclaw,2025-11-24T10:16:47Z,2026-02-04T13:02:06Z,2026-02-04T12:24:13Z,161297,161297,25219,2808,TypeScript,MIT License
godotengine/godot,2014-01-04T16:05:36Z,2026-02-04T12:57:24Z,2026-02-04T00:09:26Z,106295,106295,24227,17443,C++,MIT License
ghostty-org/ghostty,2022-03-29T17:38:26Z,2026-02-04T12:05:00Z,2026-02-04T03:57:23Z,42900,42900,1537,188,Zig,MIT License
llvm/llvm-project,2016-12-07T09:39:33Z,2026-02-04T13:02:26Z,2026-02-04T13:02:05Z,36784,36784,16016,34397,LLVM,Other
